train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch,train_acc,test_loss,test_acc
0.2606690526008606,0,49,,,,,,
0.23113799095153809,0,99,,,,,,
0.15396884083747864,0,149,,,,,,
,0,194,0.18093551695346832,0.9460999965667725,,,,
,0,194,,,0.2484799176454544,0.9236778616905212,,
0.2211650013923645,1,199,,,,,,
0.17186850309371948,1,249,,,,,,
0.11866980791091919,1,299,,,,,,
0.20154723525047302,1,349,,,,,,
,1,389,0.16629979014396667,0.9484000205993652,,,,
,1,389,,,0.15121231973171234,0.9535657167434692,,
0.09068357944488525,2,399,,,,,,
0.22046831250190735,2,449,,,,,,
0.19277159869670868,2,499,,,,,,
0.19176964461803436,2,549,,,,,,
,2,584,0.14671723544597626,0.957099974155426,,,,
,2,584,,,0.1323097199201584,0.9593549966812134,,
,3,585,,,,,0.135946124792099,0.9610999822616577
